book,character,character_first_name
Harry Potter and the Chamber of Secrets,Mr Mason,Mr
Harry Potter and the Chamber of Secrets,Mrs Mason,Mrs
Harry Potter and the Chamber of Secrets,Dobby,Dobby
Harry Potter and the Chamber of Secrets,Mafalda Hopkirk,Mafalda
Harry Potter and the Chamber of Secrets,Errol,Errol
Harry Potter and the Chamber of Secrets,Perkins,Perkins
Harry Potter and the Chamber of Secrets,Weasley family garden gnomes,Weasley
Harry Potter and the Chamber of Secrets,Weasley family chickens,Weasley
Harry Potter and the Chamber of Secrets,Celestina Warbeck,Celestina
Harry Potter and the Chamber of Secrets,Gilderoy Lockhart,Gilderoy
Harry Potter and the Chamber of Secrets,Father Christmas,Father
Harry Potter and the Chamber of Secrets,Mundungus Fletcher,Mundungus
Harry Potter and the Chamber of Secrets,Mortlake,Mortlake
Harry Potter and the Chamber of Secrets,Weasley family ghoul,Weasley
Harry Potter and the Chamber of Secrets,Chudley Cannons Quidditch Team,Chudley
Harry Potter and the Chamber of Secrets,Martin Miggs,Martin
Harry Potter and the Chamber of Secrets,Mr Borgin,Mr
Harry Potter and the Chamber of Secrets,Aged witch,Aged
Harry Potter and the Chamber of Secrets,Mr Granger,Mr
Harry Potter and the Chamber of Secrets,Mrs Granger,Mrs
Harry Potter and the Chamber of Secrets,Dr Filibuster,Dr
Harry Potter and the Chamber of Secrets,Bozo,Bozo
Harry Potter and the Chamber of Secrets,Manager of Flourish and Blotts,Manager
Harry Potter and the Chamber of Secrets,Hetty Bayliss,Hetty
Harry Potter and the Chamber of Secrets,Angus Fleet,Angus
Harry Potter and the Chamber of Secrets,Justin Finch-Fletchley's mother,Justin
Harry Potter and the Chamber of Secrets,Colin Creevey,Colin
Harry Potter and the Chamber of Secrets,Mr Creevey,Mr
Harry Potter and the Chamber of Secrets,Bandon Banshee,Bandon
Harry Potter and the Chamber of Secrets,Ogden,Ogden
Harry Potter and the Chamber of Secrets,Lockhart's pixies,Lockhart's
Harry Potter and the Chamber of Secrets,Gladys Gudgeon,Gladys
Harry Potter and the Chamber of Secrets,Veronica Smethley,Veronica
Harry Potter and the Chamber of Secrets,Sir Patrick Delaney-Podmore,Sir
Harry Potter and the Chamber of Secrets,Z. Nettles,Z.
Harry Potter and the Chamber of Secrets,D.J. Prod,D.J.
Harry Potter and the Chamber of Secrets,Care of Magical Creatures salamander,Care
Harry Potter and the Chamber of Secrets,Portly ghost,Portly
Harry Potter and the Chamber of Secrets,Myrtle Warren,Myrtle
Harry Potter and the Chamber of Secrets,Wailing Widow,Wailing
Harry Potter and the Chamber of Secrets,Ghosts unnamed,Ghosts
Harry Potter and the Chamber of Secrets,Mrs Skower,Mrs
Harry Potter and the Chamber of Secrets,Godric Gryffindor,Godric
Harry Potter and the Chamber of Secrets,Helga Hufflepuff,Helga
Harry Potter and the Chamber of Secrets,Rowena Ravenclaw,Rowena
Harry Potter and the Chamber of Secrets,Salazar Slytherin,Salazar
Harry Potter and the Chamber of Secrets,Transylvanian villager,Transylvanian
Harry Potter and the Chamber of Secrets,Unnamed Yeti,Unnamed
Harry Potter and the Chamber of Secrets,Unnamed Vampire,Unnamed
Harry Potter and the Chamber of Secrets,Wagga Wagga Werewolf,Wagga
Harry Potter and the Chamber of Secrets,Ernie Macmillan,Ernie
Harry Potter and the Chamber of Secrets,S. Fawcett,S.
Harry Potter and the Chamber of Secrets,Blood-Sucking Bugbear,Blood-Sucking
Harry Potter and the Chamber of Secrets,Aurora Sinistra,Aurora
Harry Potter and the Chamber of Secrets,Fawkes,Fawkes
