book,character,character_first_name
Twilight,Amber,Amber
Twilight,Bob Banner,Bob
Twilight,Bea,Bea
Twilight,Bella Swan's prom dress,Bella
Twilight,Billy Black,Billy
Twilight,Jacob Black,Jacob
Twilight,Ben Cheney,Ben
Twilight,Coach Clapp,Coach
Twilight,Conner,Conner
Twilight,Shelly Cope,Shelly
Twilight,Cora,Cora
Twilight,Tyler Crowley,Tyler
Twilight,Alice Cullen,Alice
Twilight,Carlisle Cullen,Carlisle
Twilight,Edward Cullen,Edward
Twilight,Emmett Cullen,Emmett
Twilight,Esme Cullen,Esme
Twilight,Phil Dwyer,Phil
Twilight,Renée Dwyer,Renée
Twilight,"First Beach, Washington",First
Twilight,Florida,Florida
Twilight,Waylon Forge,Waylon
Twilight,Forks Community Hospital,Forks
Twilight,Mrs. Goff,Mrs.
Twilight,Jasper Hale,Jasper
Twilight,Rosalie Hale,Rosalie
Twilight,Julia Hammond,Julia
Twilight,Jackie,Jackie
Twilight,Category:James's coven,Category:James's
Twilight,Jeff,Jeff
Twilight,Mr. Jefferson,Mr.
Twilight,La Bella Italia,La
Twilight,Lauren Mallory,Lauren
Twilight,Mr. Mason,Mr.
Twilight,Mimi's School of Dance attack,Mimi's
Twilight,Mr. Molina,Mr.
Twilight,Mike Newton,Mike
Twilight,"Phoenix, Arizona","Phoenix,"
Twilight,"Port Angeles, Washington",Port
Twilight,"Seattle, Washington","Seattle,"
Twilight,The Spartan Shield,The
Twilight,Jessica Stanley,Jessica
Twilight,Lee Stephens,Lee
Twilight,Bella Swan,Bella
Twilight,Charlie Swan,Charlie
Twilight,The Lodge,The
Twilight,The meadow,The
Twilight,Category:Twilight film,Category:Twilight
Twilight,Twilight quotes,Twilight
Twilight,Sam Uley,Sam
Twilight,"Vancouver, Canada","Vancouver,"
Twilight,Mr. Varner,Mr.
Twilight,Orlando Calderas Wallace,Orlando
Twilight,Brett Warner,Brett
Twilight,Angela Weber,Angela
Twilight,Samantha Wells,Samantha
Twilight,Eric Yorkie,Eric
New_Moon,Alec,Alec
New_Moon,Aro,Aro
New_Moon,Quil Ateara V,Quil
New_Moon,Mr. Berty,Mr.
New_Moon,Billy Black,Billy
New_Moon,"Biloxi, Mississippi","Biloxi,"
New_Moon,Jacob Black,Jacob
New_Moon,Caius,Caius
New_Moon,Embry Call,Embry
New_Moon,Jared Cameron,Jared
New_Moon,Ben Cheney,Ben
New_Moon,Chet,Chet
New_Moon,Harry Clearwater,Harry
New_Moon,Leah Clearwater,Leah
New_Moon,Seth Clearwater,Seth
New_Moon,Sue Clearwater,Sue
New_Moon,Conner,Conner
New_Moon,Crosshairs,Crosshairs
New_Moon,Tyler Crowley,Tyler
New_Moon,Alice Cullen,Alice
New_Moon,Carlisle Cullen,Carlisle
New_Moon,Edward Cullen,Edward
New_Moon,Emmett Cullen,Emmett
New_Moon,Esme Cullen,Esme
New_Moon,Demetri,Demetri
New_Moon,Denise,Denise
New_Moon,Felix,Felix
New_Moon,"First Beach, Washington",First
New_Moon,Forks Community Hospital,Forks
New_Moon,Dr. Gerandy,Dr.
New_Moon,Gianna,Gianna
New_Moon,Jasper Hale,Jasper
New_Moon,Rosalie Hale,Rosalie
New_Moon,Halloween,Halloween
New_Moon,Heidi,Heidi
New_Moon,Jane,Jane
New_Moon,Paul Lahote,Paul
New_Moon,Laurent,Laurent
New_Moon,Lauren Mallory,Lauren
New_Moon,Marcus,Marcus
New_Moon,Austin Marks,Austin
New_Moon,Bob Marks,Bob
New_Moon,Katie Marshall,Katie
New_Moon,Michael,Michael
New_Moon,New Moon - book to movie differences,New
New_Moon,Category:New Moon film,Category:New
New_Moon,Mike Newton,Mike
New_Moon,"Port Angeles, Washington",Port
New_Moon,Saint Marcus' Day,Saint
New_Moon,Dr. Snow,Dr.
New_Moon,Jessica Stanley,Jessica
New_Moon,Deputy Steve,Deputy
New_Moon,Bella Swan,Bella
New_Moon,Charlie Swan,Charlie
New_Moon,The meadow,The
New_Moon,Sam Uley,Sam
New_Moon,Mr. Varner,Mr.
New_Moon,Victoria,Victoria
New_Moon,"Volterra, Italy","Volterra,"
New_Moon,Angela Weber,Angela
New_Moon,Eric Yorkie,Eric
New_Moon,Emily Young,Emily
Eclipse,Alec,Alec
Eclipse,Quil Ateara III,Quil
Eclipse,Quil Ateara V,Quil
Eclipse,Bob Banner,Bob
Eclipse,Battle of the newborn army,Battle
Eclipse,Bella Swan's charm bracelet,Bella
Eclipse,Mr. Berty,Mr.
Eclipse,Mr. Biers,Mr.
Eclipse,Mrs. Biers,Mrs.
Eclipse,Billy Black,Billy
Eclipse,Jacob Black,Jacob
Eclipse,Embry Call,Embry
Eclipse,Jared Cameron,Jared
Eclipse,Ben Cheney,Ben
Eclipse,Coach Clapp,Coach
Eclipse,Leah Clearwater,Leah
Eclipse,Seth Clearwater,Seth
Eclipse,Sue Clearwater,Sue
Eclipse,Conner,Conner
Eclipse,Shelly Cope,Shelly
Eclipse,Tyler Crowley,Tyler
Eclipse,Alice Cullen,Alice
Eclipse,Carlisle Cullen,Carlisle
Eclipse,Edward Cullen,Edward
Eclipse,Emmett Cullen,Emmett
Eclipse,Esme Cullen,Esme
Eclipse,Demetri,Demetri
Eclipse,Renée Dwyer,Renée
Eclipse,Category:Eclipse film,Category:Eclipse
Eclipse,Felix,Felix
Eclipse,Brady Fuller,Brady
Eclipse,Harold Greene,Harold
Eclipse,Jasper Hale,Jasper
Eclipse,Rosalie Hale,Rosalie
Eclipse,Jane,Jane
Eclipse,Kim,Kim
Eclipse,Paul Lahote,Paul
Eclipse,Collin Littlesea,Collin
Eclipse,Lauren Mallory,Lauren
Eclipse,Austin Marks,Austin
Eclipse,Katie Marshall,Katie
Eclipse,Mr. Mason,Mr.
Eclipse,Karen Newton,Karen
Eclipse,Mike Newton,Mike
Eclipse,Category:Seattle newborn army,Category:Seattle
Eclipse,"Seattle, Washington","Seattle,"
Eclipse,Jessica Stanley,Jessica
Eclipse,Lee Stephens,Lee
Eclipse,Bella Swan,Bella
Eclipse,Charlie Swan,Charlie
Eclipse,The Lodge,The
Eclipse,The meadow,The
Eclipse,Sam Uley,Sam
Eclipse,Mr. Varner,Mr.
Eclipse,Angela Weber,Angela
Eclipse,Isaac Weber,Isaac
Eclipse,Joshua Weber,Joshua
Eclipse,Samantha Wells,Samantha
Eclipse,Eric Yorkie,Eric
Eclipse,Emily Young,Emily
Breaking_Dawn,Afton,Afton
Breaking_Dawn,Alec,Alec
Breaking_Dawn,April,April
Breaking_Dawn,Aro,Aro
Breaking_Dawn,Quil Ateara V,Quil
Breaking_Dawn,Athenodora,Athenodora
Breaking_Dawn,Bianca,Bianca
Breaking_Dawn,Billy Black,Billy
Breaking_Dawn,Jacob Black,Jacob
Breaking_Dawn,Category:Breaking Dawn films,Category:Breaking
Breaking_Dawn,Caius,Caius
Breaking_Dawn,Embry Call,Embry
Breaking_Dawn,Jared Cameron,Jared
Breaking_Dawn,Chelsea,Chelsea
Breaking_Dawn,Ben Cheney,Ben
Breaking_Dawn,Christmas,Christmas
Breaking_Dawn,Leah Clearwater,Leah
Breaking_Dawn,Seth Clearwater,Seth
Breaking_Dawn,Sue Clearwater,Sue
Breaking_Dawn,Corin,Corin
Breaking_Dawn,Category:Cullen witnesses,Category:Cullen
Breaking_Dawn,Alice Cullen,Alice
Breaking_Dawn,Carlisle Cullen,Carlisle
Breaking_Dawn,Edward Cullen,Edward
Breaking_Dawn,Emmett Cullen,Emmett
Breaking_Dawn,Esme Cullen,Esme
Breaking_Dawn,Renesmee Cullen,Renesmee
Breaking_Dawn,Demetri,Demetri
Breaking_Dawn,Phil Dwyer,Phil
Breaking_Dawn,Renée Dwyer,Renée
Breaking_Dawn,Edward Cullen and Bella Swan's wedding,Edward
Breaking_Dawn,Felix,Felix
Breaking_Dawn,Brady Fuller,Brady
Breaking_Dawn,Gustavo,Gustavo
Breaking_Dawn,Jasper Hale,Jasper
Breaking_Dawn,Rosalie Hale,Rosalie
Breaking_Dawn,Heidi,Heidi
Breaking_Dawn,Isle Esme,Isle
Breaking_Dawn,Jane,Jane
Breaking_Dawn,J. Jenks,J.
Breaking_Dawn,Kaure,Kaure
Breaking_Dawn,Paul Lahote,Paul
Breaking_Dawn,Collin Littlesea,Collin
Breaking_Dawn,Lizzie,Lizzie
Breaking_Dawn,Marcus,Marcus
Breaking_Dawn,Deputy Mark,Deputy
Breaking_Dawn,Max,Max
Breaking_Dawn,Mike Newton,Mike
Breaking_Dawn,Renata,Renata
Breaking_Dawn,"Rio de Janeiro, Brazil",Rio
Breaking_Dawn,Santiago,Santiago
